Name,Socket,Chipset,MaxRAMSpeed,MemoryType,SupportedStorageInterfaces,SupportedFormFactors,Formfactor
Gigabyte GA-A320M-S2H,AM4,AMD A320,DDR4 3600 MHz,DDR4,"SATA III, M.2 (NVMe)","SATA III, PCIe x4, M.2",Micro-ATX
Asus Z170 Pro Gaming,LGA 1151,Intel Z170,DDR4-3200,DDR4,"SATA III, PCIe NVMe, M.2, USB-C","2.5-inch HDD, M.2 SSD, mSATA SSD",ATX
Asus Prime A320M-K,AM4,AMD A320,3200 MHz (assuming DDR4 RAM),DDR4,"SATA III, M.2 NVMe","2.5"", M.2",Micro-ATX
Asus Z170-A,LGA 1151,Intel Z170,DDR4-3200,DDR4,"SATA III, PCIe NVMe, M.2, U.2","mSATA, SATA DOM, M.2 NGFF, PCIe NVMe",ATX
Asrock B450M Steel Legend,AM4,AMD B450,3200MHz,DDR4,"SATA III, M.2 NVMe, PCIe x4","2.5"", 3.5""",Micro-ATX
Asus EX-A320M-Gaming,AM4,AMD A320,3200 MHz (OC),DDR4,"SATA III, M.2 NVMe","2.5-inch HDD, M.2 SSD",Micro-ATX
Asrock A320M-HDV,AM4,AMD A320,2400MHz,DDR4,"SATA III, M.2 NVMe","2.5"", 3.5""",Micro-ATX
Asus ROG Maximus VII Hero,LGA 1150,Intel Z97,DDR3-3200,DDR3,"SATA III, M.2, PCIe","2.5"", 3.5""",ATX
Asus Z170-P,LGA 1151,Intel Z170,DDR4-3200,DDR4,"SATA III, PCIe NVMe, M.2, U.2","2.5"", 3.5""",ATX
Asus Prime Z370-P,LGA 1151,Intel Z370,DDR4-2666,DDR4,"SATA III, M.2 NVMe, M.2 SATA, U.2","2.5"", 3.5""",ATX
Gigabyte GA-H110M-DS2,LGA 1151,Intel H110,DDR4 2400MHz,DDR4,"SATA III, M.2 (SATA and PCIe)","2.5-inch HDD, M.2 SSD",Micro-ATX
Gigabyte B450 Aorus Elite,AM4,AMD B450,DDR4 3200MHz,DDR4,"SATA III, PCIe NVMe, M.2",M.2,ATX
Gigabyte Z390 UD,LGA 1151,Intel Z390,DDR4 4600MHz (OC),DDR4,"SATA III, PCIe NVMe","2.5"", M.2",ATX
Colorful C.A320M-K Pro V14,AM4,AMD A320,2400MHz (Dual Channel),DDR4,"SATA III, M.2 (SATA and PCIe)","2.5"" and 3.5""",Micro-ATX
Gigabyte Z370P D3,LGA 1151,Intel Z370,DDR4 3200,DDR4,"SATA III, M.2 NVMe, U.2","2.5"" HDD, SSD, M.2",ATX
MSI Z390-A Pro,LGA 1151,Intel Z390,DDR4 4600+,DDR4,"SATA III, M.2 NVMe, PCIe NVMe","M.2, U.2",ATX
Gigabyte GA-H110-D3A,LGA 1151,Intel H110,DDR4-2400,DDR4,"SATA III, M.2","2.5"", 3.5""",ATX
Asus Sabertooth 990FX R2.0,AM3+,AMD 990FX,DDR3-1866 (Note: This is a maximum speed of DDR3 memory),DDR3,"SATA III, PCIe x4, AHCI","2.5-inch and 3.5-inch Hard Disk Drives (HDD), Solid-State Drives (SSD), M.2 SSDs",ATX
Asus Z170-K,LGA 1151,Intel Z170,DDR4 3200 (OC),DDR4 SDRAM,"SATA III, PCIe NVMe, M.2","2.5-inch HDD, M.2 SSD, U.2 SSD",ATX
Gigabyte GA-B250M-D3H,LGA 1151,Intel B250,DDR4 2400 MHz,DDR4,"SATA III, M.2 NVMe, PCIe x4","2.5"", mSATA, M.2",Micro-ATX
Gigabyte B450M DS3H,AM4,AMD B450,3200MHz (according to Gigabyte's official website),DDR4,"SATA III, PCIe NVMe","2.5-inch HDD, M.2 SSD",Micro-ATX
Asus Prime B350-Plus,AM4,AMD B350,3200MHz (according to ASUS's official specs),DDR4,"SATA III, PCIe x2, M.2","mPCIe, COM Port, USB, HDMI, DisplayPort",ATX
Asus ROG Crosshair V Formula-Z,AM3+,AMD 990FX,DDR-2400 (1.6 GHz),DDR3,"SATA III, PCIe x4, M.2, USB 3.0","HDD, SSD",ATX
Asrock B450 Steel Legend,AM4,AMD B450,DDR4 3200 MHz,DDR4,"SATA III, M.2 (Key E), M.2 (Key M)",SSD,ATX
Asrock B550M Pro4,AM4,AMD B550,"DDR4 4733MHz (OC), DDR5 5200MHz (OC)",DDR4/DDR5,"SATA III, PCIe 4.0 x4, M.2 NVMe","M.2, U.2, SATA",Micro-ATX
Asus ROG Maximus VIII Ranger,LGA 1151,Intel Z170,DDR4-3200 (OC),DDR4,"SATA III, PCIe NVMe, M.2 NVMe, U.2","2.5"", M.2, mSATA",ATX
Asus Prime Z390-P,LGA 1151,Intel Z390,DDR4 4600MHz,DDR4,"SATA III, PCIe NVMe, M.2, UFS","2.5"", mSATA, M.2",ATX
Asus ROG Rampage II Extreme,LGA 1366,Intel X58,DDR3-1600,DDR3,"SATA III, PCIe x2, eSATA","2.5-inch, 3.5-inch",E-ATX
Gigabyte GA-B150M-D3H,LGA 1151,Intel B150,DDR4 2400,DDR4,"SATA III, M.2","2.5"", 3.5""",Micro-ATX
Gigabyte GA-H110M-H,LGA 1151,Intel H110,DDR4 2133MHz,DDR4,"SATA III, M.2, PCIe",,Micro-ATX
Gigabyte Z390 Gaming X,LGA 1151,Intel Z390,DDR4 4666MHz (OC),DDR4,"SATA III, PCIe NVMe, M.2","M.2 SSD, U.2 SSD, USB-A, USB-C",ATX
Asus Z170M-Plus,LGA 1151,Intel Z170,DDR4 3400MHz (OC),DDR4,"SATA III, M.2, UEFI","2.5-inch HDD, M.2 SSD",Micro-ATX
Asrock Z370 Pro4,LGA 1151,Intel Z370,DDR4 3200 (OC),DDR4,"SATA III, PCIe NVMe","2.5"" and 3.5"" HDD, M.2 SSD",ATX
Asrock A320M-HDV R4.0,AM4,AMD A320,DDR4 3200,DDR4,"SATA III, M.2 (SATA and PCIe), USB-C",,Micro-ATX
Asus H170 Pro Gaming,LGA 1151,Intel H170,DDR4-2400,DDR4,"SATA III, M.2 NVMe, PCIe x4",,ATX
Asus X99-Deluxe,LGA 2011-3,Intel X99,DDR4-3200,DDR4,"SATA III, PCIe, M.2","2.5-inch HDD, M.2 SSD, U.2 SSD",ATX
Asus Prime Z270-P,LGA 1151,Intel Z270,DDR4 3200,DDR4,"SATA III, PCIe NVMe, M.2","2.5-inch HDD, M.2 SSD, U.2 SSD",ATX
Asus B150M Pro Gaming,LGA 1151,Intel B150,DDR4 2400MHz,DDR4,"SATA III, M.2 NVMe","2.5"", M.2",Micro-ATX
Asus Prime Z390-A,LGA 1151,Intel Z390,4600 MHz (OC),DDR4,"SATA III, M.2 NVMe, U.2 NVMe, PCIe x4","2.5-inch HDD, M.2 SSD",ATX
Gigabyte Z370 HD3,LGA 1151,Intel Z370,DDR4 3200 MHz,DDR4,"SATA III, PCIe NVMe, M.2","2.5-inch HDD, M.2 SSD",ATX
Gigabyte GA-H110M-S2,LGA 1151,Intel H110,2400MHz,DDR4,"SATA III, M.2 NVMe, PCIe x2","2.5-inch HDD, M.2 SSD",Micro-ATX
Gigabyte GA-B250M-DS3H,LGA 1151,Intel B250,DDR4 2400MHz,DDR4,"SATA III, M.2 NVMe","2.5"" HDD, M.2 SSD",Micro-ATX
Asus Prime B350M-A,AM4,AMD B350,DDR4 3200 MHz,DDR4 SDRAM,"SATA III, M.2 NVMe, PCIe x4","2.5-inch HDD, M.2 SSD",Micro-ATX
Asus Z170-Deluxe,LGA 1151,Intel Z170,DDR4-3200,DDR4,"SATA III, M.2, PCIe NVMe",SSD,ATX
MSI H110M PRO-VH Plus,LGA 1151,Intel H110,2133 MHz,DDR4,"SATA III, M.2 NVMe","2.5-inch HDD, M.2 SSD",Micro-ATX
Asus ROG Maximus V Gene,LGA 1155,Intel Z77,DDR3 2600MHz,DDR3,"SATA III, PCIe, eSATA","2.5"", 3.5""",Micro-ATX
Asrock B250M Pro4,LGA 1151,Intel B250,DDR4 2400,DDR4,"SATA III, M.2 NVMe, M.2 SATA",,Micro-ATX
MSI A320M Pro-VD/S,AM4,AMD A320,3200 MHz,DDR4,"SATA III, PCIe NVMe","2.5-inch, M.2 (Key E), M.2 (Key M)",Micro-ATX
Asus ROG Rampage IV Extreme,LGA 2011,Intel X79,1866MHz,DDR3,"SATA III, PCIe x4, M.2, USB 3.0","2.5"" and 3.5"" HDD, SSD",E-ATX
Biostar A320MH,AM4,AMD A320,DDR4 3200 MHz,DDR4,"SATA III, PCIe NVMe","2.5"" HDD, M.2 SSD",Micro-ATX
Asrock H110M-HDV R3.0,LGA 1151,Intel H110,DDR4 2133 MHz,DDR4 SDRAM,"SATA III, M.2 (SATA/SAS)",,Micro-ATX
Gigabyte G1.Sniper B7,LGA 1151,Intel B150,DDR4-2400,DDR4,"SATA III, M.2 NVMe, UFS","2.5-inch HDD, M.2 SSD, mSATA SSD",ATX
Asus ROG Strix X570-E Gaming,AM4,AMD X570,DDR4 4600MHz (OC) / DDR4 3200MHz (Non-OC),DDR4,,,ATX
Asus Prime B250M-A,LGA 1151,Intel B250,DDR4-2400 (based on Intel's documentation),DDR4 SDRAM,"SATA III, M.2 NVMe/SATA, USB-C",,Micro-ATX
Asus X99-A II,LGA 2011-3,Intel X99,DDR4 3200 MHz (OC),DDR4 SDRAM,"SATA, PCIe, M.2, U.2","2.5"", 3.5""",ATX
Asus Prime X370-Pro,AM4,AMD X370,3200MHz (PCIe 3.0),DDR4,"SATA III, M.2 NVMe, PCIe x4","AHCI, RAID",ATX
Asrock H110M-DVS R3.0,LGA 1151,Intel H110,DDR4-2400,DDR4,"SATA III, M.2 (SATA and PCIe)","2.5-inch HDD, M.2 SSD",Micro-ATX
Gigabyte B450M Gaming,AM4,AMD B450,3200MHz,DDR4,"SATA III, M.2 (SATA and PCIe), U.2",,Micro-ATX
Gigabyte X570 Aorus Elite,AM4,AMD X570,4600MHz,DDR4/DDR5,"SATA III, PCIe NVMe","M.2, U.2, mSATA",ATX
MSI B450M Pro-VDH,AM4,AMD B450,3200MHz,DDR4,"SATA III, PCIe NVMe","2.5"", 3.5""",Micro-ATX
Gigabyte B450 Aorus Pro WiFi,AM4,AMD B450,DDR4 3200,DDR4,"SATA, PCIe NVMe, M.2","2.5"", M.2, mSATA",ATX
MSI MPG X570 Gaming Edge Wifi,AM4,AMD X570,3200 MHz,DDR4,"SATA III, M.2 NVMe, PCIe NVMe","2.5"", 3.5""",ATX
Gigabyte Z370M D3H,LGA 1151,Intel Z370,DDR4 3200 MHz,,"SATA III, M.2 NVMe, PCIe NVMe",,Micro-ATX
Asrock B550M Steel Legend,AM4,AMD B550,4600MHz,DDR4/DDR5,"SATA III, PCIe NVMe","M.2, U.2, USB flash drive",Micro-ATX
MSI B350M Gaming Pro,AM4,AMD B350,DDR4 3200,DDR4,"SATA III, M.2 NVMe, PCIe x2",M.2,Micro-ATX
Asrock AB350 Pro4,AM4,AMD B350,3200 MHz,DDR4,"SATA III, PCIe NVMe, M.2, U.2","HDD, SSD, mSATA",ATX
Asus ROG Maximus VII Formula,LGA 1150,Intel Z97,DDR3-3200,DDR3,"SATA III, PCIe, M.2, USB","2.5"", 3.5""",ATX
MSI Z270-A Pro,LGA 1151,Intel Z270,DDR4-3866 (OC),DDR4,"SATA III, PCIe NVMe, M.2, U.2","2.5"" HDD, M.2 SSD, mSATA SSD",ATX
Asus B150 Pro Gaming/Aura,LGA 1151,Intel B150,DDR4 2400 MHz,DDR4,"SATA III, M.2 NVMe, PCIe x4","2.5-inch SATA drive, M.2 SSD",ATX
Asus B150M-A,LGA 1151,Intel B150,2400 MHz ( dual-channel),DDR4,"SATA III, M.2","2.5"", M.2",Micro-ATX
MSI Z370 Gaming Plus,LGA 1151,Intel Z370,DDR4-4666,DDR4,"SATA III, M.2 NVMe, PCIe NVMe","2.5"", 3.5""",ATX
Asus ROG Maximus X Hero,LGA 1151,Intel Z370,DDR4 3200,DDR4,"SATA III, M.2 NVMe, PCIe","2.5"", 3.5""",ATX
Gigabyte B450 Aorus M,AM4,AMD B450,3200MHz,DDR4,"SATA III, PCIe NVMe, M.2","2.5"", 3.5""",Micro-ATX
Asrock B450M-HDV R4.0,AM4,AMD B450,DDR4 3200(O.C.),DDR4,"SATA III, M.2 NVMe, PCIe x4, USB-C, Micro-USB",,Micro-ATX
Gigabyte Z370 Aorus Gaming 5,LGA 1151,Intel Z370,DDR4-3200,DDR4,"SATA III, M.2 NVMe, PCIe NVMe","2.5"", 3.5""",ATX
Asus ROG Maximus VII Gene,LGA 1150,Intel Z97,3200 MHz (Dual Channel),DDR3,"SATA III, PCIe NVMe, M.2","2.5"", 3.5""",Micro-ATX
Asus ROG Strix B350-F Gaming,AM4,AMD B350,DDR4 3200 MHz,DDR4,"SATA III, PCIe NVMe, M.2","2.5-inch, M.2",ATX
Asus Prime B250M-K,LGA 1151,Intel B250,DDR4 2400,DDR4,"SATA III, M.2 NVMe",,Micro-ATX
ECS H110H4-M19,LGA 1151,Intel H110,2133MHz,DDR4,"SATA III, M.2 NVMe",None mentioned (likely only Micro-ATX),Micro-ATX
MSI B350M Bazooka,AM4,AMD B350,3200 MHz,DDR4,"SATA III, M.2 NVMe","2.5-inch, mSATA, M.2",Micro-ATX
Gigabyte GA-B250M-D2V,LGA 1151,Intel B250,DDR4 2400MHz,DDR4,"SATA III, M.2 (PCIe), M.2 (SATA)",,Micro-ATX
Asus ROG Rampage III Extreme,LGA 1366,Intel X58,DDR3-2400,DDR3,"SATA III, SATA II, IDE, eSATA, AHCI","2.5"", 3.5""",E-ATX
Asus B150M-A D3,LGA 1151,Intel B150,2400 MHz,DDR4,"SATA III, PCIe NVMe","2.5"" HDD, M.2 SSD",Micro-ATX
Gigabyte GA-AX370M-DS3H,AM4,AMD X370,3200 MHz,DDR4,"SATA III, PCIe NVMe","HDD, SSD",Micro-ATX
Asrock B550M-HDV,AM4,AMD B550,4600MHz,DDR4/DDR5,"SATA III, M.2 (Key E), M.2 (Key M)",Micro-ATX,Micro-ATX
Asus ROG Maximus VI Hero,LGA 1150,Intel Z87,3200 MHz (OC),DDR3,"SATA III, PCIe NVMe, USB 3.1 Gen2, M.2, mSATA","M.2, mSATA",ATX
Asus Prime X470-Pro,AM4,AMD X470,3200 MHz ( DDR4-3200 ),DDR4,"SATA III, M.2 NVMe, M.2 SATA, U.2","2.5-inch HDD, M.2 SSD, SATA DVD, USB Flash Drive",ATX
Asus ROG Strix B250F Gaming,LGA 1151,Intel B250,DDR4 2400 MHz,DDR4 SDRAM,"SATA III, M.2 NVMe, M.2 SATA","2.5"", 3.5""",ATX
MSI B450 Tomahawk,AM4,AMD B450,3200MHz,DDR4,"SATA6Gb/s, M.2 NVMe, PCIe x4",,ATX
MSI B250M Bazooka,LGA 1151,Intel B250,DDR4 2400MHz,DDR4,"SATA III, M.2 NVMe, M.2 SATA, USB-C with DisplayPort","2.5"" HDD, M.2 SSD, mSATA SSD",Micro-ATX
MSI Z370-A Pro,LGA 1151,Intel Z370,2400MHz,DDR4,"SATA III, PCIe NVMe, M.2 (Key E), M.2 (Key M)","2.5"", 3.5""",ATX
Gigabyte GA-Z170-HD3P,LGA 1151,Intel Z170,2400MHz (or DDR4-2400),DDR4,"SATA III, PCIe NVMe","2.5-inch, M.2",ATX
Gigabyte GA-A320M-DS2,AM4,AMD A320,DDR4 3200 MHz,DDR4,"SATA6Gb/s, M.2 (Key E), USB-C",M.2 (Key E),Micro-ATX
MSI B250M Pro-VDH,LGA 1151,Intel B250,DDR4 2400MHz,DDR4 SDRAM,"SATA III, PCIe NVMe, M.2, USB-C, USB-A","mSATA, M.2 SSD, SATA HDD",Micro-ATX
Asus ROG Maximus IV Extreme-Z,LGA 1155,Intel Z68,2400 MHz,DDR3,"SATA III, PCIe","2.5"", 3.5""",E-ATX
Gigabyte GA-H270-HD3,LGA 1151,Intel H270,DDR4 2400/2133 MHz,DDR4 SDRAM,"SATA III, M.2 NVMe, PCIe x4","2.5-inch HDD, M.2 SSD, mSATA SSD, U.2 NVMe",ATX
Asus ROG Strix Z270F Gaming,LGA 1151,Intel Z270,DDR4 3200 MHz,DDR4 SDRAM,"SATA III, PCIe NVMe, M.2, UEFI","2.5-inch HDD, M.2 SSD, mSATA SSD, PCIe NVMe",ATX
Gigabyte Z390 Aorus Elite,LGA 1151,Intel Z390,DDR4 4600 (or OC to DDR4 3200),DDR4,"SATA, M.2 NVMe, PCIe NVMe","2.5-inch HDD, M.2 SSD",ATX
