Model,Interface,FormFactor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NANDType,Layers,R/W,Categories
Acer SA100,SATA/AHCI,"2.5""",120GB-1.92TB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,,TLC,,560/500,Entry-Level SATA
Acer FA100,x4 PCIe 3.0/NVMe,M.2,128GB-2TB,Innogrit IG5216,"Dual-core, 4x4",No,Yes,Micron,TLC,176,3300/2700,Entry-Level NVMe
Acer FA200,x4 PCIe 4.0/NVMe,M.2,500GB-4TB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,QLC,232,7200/6200,Consumer
Acer GM3500,x4 PCIe 3.0/NVMe,M.2,512GB-1TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,96+,3400/3000,Mid-Range NVMe
Acer GM7,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Maxio MAP1602,"R5, 4x8",No,Yes,YMTC,TLC,3D,7400/7300,Consumer
Acer GM7000 (Predator),x4 PCIe 4.0/NVMe,M.2,512GB-2TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,No,Micron,TLC,176,7400/6400,High-End NVMe
Acer RE100,SATA/AHCI,"2.5""",128GB-4TB,Maxio MAS0902A,"Dual-core, 4-Ch, 8-CE/ch",No,N/A,Kioxia (formerly Toshiba),TLC,,560/520,Entry-Level SATA
ADATA ATOM 30,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,Realtek RTS5766DL,4-Ch,No,Yes,Micron,TLC (Tri-Level Cell),3D,2500/2000,Entry-Level NVMe
ADATA ATOM 40,x4 PCIe 4.0/NVMe,M.2,512GB-1TB,Phison E18,,1GB,Yes,Kioxia (formerly Toshiba),TLC (Tri-Level Cell),"3D NAND, BiCS4",3500/3000,Mid-Range NVMe
ADATA ATOM 50,x4 PCIe 4.0/NVMe,M.2,512GB-1TB,InnoGrit IG5220,"Tri-core R5, 4x8",No,Yes,Micron,TLC,176,5000/4500,Mid-Range NVMe
ADATA Falcon,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Realtek RTS5762DL,"Dual-core, 8-ch, 4-CE/ch",No,Yes,Micron,TLC,96,3100/1500,Entry-Level NVMe
ADATA Legend 710,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Realtek RTS5766DL,4-Ch,No,Yes,Micron,TLC (Tri-Level Cell),3D TLC,2400/1800,Entry-Level NVMe
ADATA Legend 740,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,Realtek RTS5766DL,4-Ch,No,Yes,Kioxia (formerly Toshiba),Tri-Level TLC,3D,2500/2000,Entry-Level NVMe
ADATA Legend 750,x4 PCIe 3.0/NVMe,M.2,500GB-1TB,Maxio MAP1202,"Dual R5, 4x4",No,Yes,Micron,3D TLC,96,3500/3000,Mid-Range NVMe
ADATA Legend 800,x4 PCIe 4.0/NVMe,M.2,,SMI SM2267XT,"Dual R5, 4x4",1GB,Yes,Kioxia (formerly Toshiba),Tri-Level TLC,3D TLC,3500/2800,Entry-Level NVMe
ADATA Legend 820,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,,SATA III or NVMe,None,Not Applicable (M.2 form factor),Micron,Tri-Level Cell (TLC) or QLC,Not Specified,5000/4500,"Consumer Storage, Performance SSD"
ADATA Legend 840,x4 PCIe 4.0/NVMe,M.2,512GB-1TB,InnoGrit IG5220,"Tri-core R5, 4x8",No,Yes,Micron,TLC,176,5000/4500,Mid-Range NVMe
ADATA Legend 850,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,Kioxia (formerly Toshiba),TLC,,5000/4500,Mid-Range NVMe
ADATA Legend 850 Lite,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,SMI SM2269XT,"Dual-core R8, 4-ch",No,Yes,Kioxia (formerly Toshiba),TLC,3D,5000/4200,Mid-Range NVMe
